File Path| Bundle Name| Line Number| Line Content| CSS Variable Name
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1244| border-bottom: 1px solid #e5e5e5;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1286| outline: thin dotted #333;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1301| color: #555555;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1312| color: #555555;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1314| background-color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1316| border: 1px solid #cccccc;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1325| border-color: #66afe9;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1332| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1336| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1340| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1344| color: #999999;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1351| background-color: #eeeeee;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1464| color: #c09853;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1468| border-color: #c09853;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1474| border-color: #a47e3c;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1475| -webkit-box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075), 0 0 6px #dbc59e;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1476| box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075), 0 0 6px #dbc59e;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1480| color: #c09853;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1481| background-color: #fcf8e3;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1482| border-color: #c09853;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1491| color: #b94a48;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1495| border-color: #b94a48;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1501| border-color: #953b39;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1502| -webkit-box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075), 0 0 6px #d59392;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1503| box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075), 0 0 6px #d59392;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1507| color: #b94a48;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1508| background-color: #f2dede;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1509| border-color: #b94a48;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1518| color: #468847;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1522| border-color: #468847;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1528| border-color: #356635;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1529| -webkit-box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075), 0 0 6px #7aba7b;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1530| box-shadow: inset 0 1px 1px rgba(0, 0, 0, 0.075), 0 0 6px #7aba7b;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1534| color: #468847;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1535| background-color: #dff0d8;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1536| border-color: #468847;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1547| color: #737373;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1640| outline: thin dotted #333;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1647| color: #333333;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1671| color: #333333;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1672| background-color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1673| border-color: #cccccc;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1681| color: #333333;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1682| background-color: #ebebeb;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1683| border-color: #adadad;| 
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1707| background-color: #ffffff;| --litmos-none-background,--litmos-navbar-text-color,--white-background
c:\epam-work\litmos_core\litmos.api\content\bootstrap-ie.css| | 1708| border-color: #cccccc;| 
